iter	Passed	Remaining
527	41790	37358
528	41871	37280
529	41941	37193
530	42023	37116
531	42101	37037
532	42188	36964
533	42262	36880
534	42338	36799
535	42414	36716
536	42499	36642
537	42569	36555
538	42646	36474
539	42729	36399
540	42783	36298
541	42854	36212
542	42918	36120
543	43002	36046
544	43088	35972
545	43181	35905
546	43259	35825
547	43339	35747
548	43404	35656
549	43501	35591
550	43585	35517
551	43673	35445
552	43763	35374
553	43846	35299
554	43925	35219
555	44007	35142
556	44090	35066
557	44179	34995
558	44254	34913
559	44333	34833
560	44421	34760
561	44506	34686
562	44582	34604
563	44655	34521
564	44761	34462
565	44849	34390
566	44969	34341
567	45078	34284
568	45203	34239
569	45311	34182
570	45425	34128
571	45542	34077
572	45662	34027
573	45758	33959
574	45849	33888
575	45944	33820
576	46047	33757
577	46131	33680
578	46211	33600
579	46295	33524
580	46368	33439
581	46469	33375
582	46556	33300
583	46619	33208
584	46699	33128
585	46778	33048
586	46857	32967
587	46935	32886
588	47026	32814
589	47105	32734
590	47188	32656
591	47280	32585
592	47360	32505
593	47430	32419
594	47529	32351
595	47598	32264
596	47666	32176
597	47743	32095
598	47811	32007
599	47876	31917
600	47978	31852
601	48078	31786
602	48173	31716
603	48270	31647
604	48360	31573
605	48450	31500
606	48528	31419
607	48587	31326
608	48668	31246
609	48746	31165
610	48818	31080
611	48906	31005
612	48985	30925
613	49039	30829
614	49106	30741
615	49182	30659
616	49262	30579
617	49354	30507
618	49442	30432
619	49522	30352
620	49611	30277
621	49692	30198
622	49788	30128
623	49869	30049
624	49946	29967
625	50035	29893
626	50120	29816
627	50197	29734
628	50281	29657
629	50352	29571
630	50429	29490
631	50506	29408
632	50579	29325
633	50666	29248
634	50758	29175
635	50836	29094
636	50900	29006
637	50979	28925
638	51070	28851
639	51141	28766
640	51210	28681
641	51285	28598
642	51370	28521
643	51437	28434
644	51515	28353
645	51601	28277
646	51677	28194
647	51754	28113
648	51848	28041
649	51928	27961
650	51990	27871
651	52057	27785
652	52135	27704
653	52210	27622
654	52280	27536
655	52361	27457
656	52443	27379
657	52517	27296
658	52606	27221
659	52678	27137
660	52750	27053
661	52831	26974
662	52912	26895
663	53003	26820
664	53106	26752
665	53194	26677
666	53275	26597
667	53382	26531
668	53473	26456
669	53543	26372
670	53637	26299
671	53737	26229
672	53834	26157
673	53915	26077
674	54007	26003
675	54095	25927
676	54183	25851
677	54266	25772
678	54352	25695
679	54428	25613
680	54509	25533
681	54584	25451
682	54681	25379
683	54758	25297
684	54838	25217
685	54922	25139
686	55031	25072
687	55122	24997
688	55205	24918
689	55276	24834
690	55353	24753
691	55432	24672
692	55500	24587
693	55572	24503
694	55662	24427
695	55753	24352
696	55827	24269
697	55907	24189
698	55993	24111
699	56078	24033
700	56145	23947
701	56218	23864
702	56305	23787
703	56370	23701
704	56438	23616
705	56514	23534
706	56576	23446
707	56634	23357
708	56713	23277
709	56773	23189
710	56839	23103
711	56935	23030
